SoilType,Season,Rainfall_mm,Temp_C,Humidity_%,RecommendedCrop
Alluvial,Rabi,1076,31.5,80,Rice
Alluvial,Rabi,1346,31.7,66,Rice
Alluvial,Rabi,1415,29.9,62,Rice
Alluvial,Kharif,1371,31.6,69,Rice
Alluvial,Zaid,1056,29.9,62,Rice
Alluvial,Rabi,1322,30.6,68,Rice
Alluvial,Zaid,1121,28.3,77,Rice
Alluvial,Rabi,1492,32.0,74,Rice
Alluvial,Kharif,1495,28.4,73,Rice
Alluvial,Rabi,1061,30.9,80,Rice
Alluvial,Kharif,1113,28.0,60,Rice
Alluvial,Kharif,1395,31.2,65,Rice
Alluvial,Kharif,1069,29.1,69,Rice
Alluvial,Rabi,1491,30.5,67,Rice
Alluvial,Rabi,1005,30.3,74,Rice
Alluvial,Rabi,1237,30.8,76,Rice
Alluvial,Kharif,1164,28.2,64,Rice
Alluvial,Rabi,1281,31.7,72,Rice
Alluvial,Rabi,1403,31.0,67,Rice
Alluvial,Zaid,1010,31.6,68,Rice
Alluvial,Zaid,1074,31.4,72,Rice
Alluvial,Rabi,1281,31.8,71,Rice
Alluvial,Kharif,1307,31.1,65,Rice
Alluvial,Kharif,1258,28.5,62,Rice
Alluvial,Kharif,1500,30.5,78,Rice
Alluvial,Zaid,1270,28.8,76,Rice
Alluvial,Kharif,1330,30.6,68,Rice
Alluvial,Zaid,1009,31.8,70,Rice
Alluvial,Rabi,1336,29.9,68,Rice
Alluvial,Zaid,1215,30.3,64,Rice
Alluvial,Zaid,1368,30.0,63,Rice
Alluvial,Kharif,1431,31.0,80,Rice
Alluvial,Rabi,1039,31.7,71,Rice
Alluvial,Kharif,1057,30.3,62,Rice
Alluvial,Kharif,1332,31.2,64,Rice
Alluvial,Rabi,1174,30.7,65,Rice
Alluvial,Zaid,1463,28.1,67,Rice
Alluvial,Zaid,1475,29.0,80,Rice
Alluvial,Rabi,1183,31.7,60,Rice
Alluvial,Kharif,1343,30.2,63,Rice
Alluvial,Zaid,1225,31.3,71,Rice
Alluvial,Rabi,1188,29.5,79,Rice
Alluvial,Kharif,1336,28.6,72,Rice
Alluvial,Rabi,1371,29.2,67,Rice
Alluvial,Rabi,1137,28.5,67,Rice
Alluvial,Zaid,1228,31.8,67,Rice
Alluvial,Kharif,1114,28.5,67,Rice
Alluvial,Rabi,1484,29.4,78,Rice
Alluvial,Rabi,1104,28.5,74,Rice
Alluvial,Kharif,1457,28.6,71,Rice
Alluvial,Kharif,1447,28.0,71,Rice
Alluvial,Rabi,1136,30.7,78,Rice
Alluvial,Rabi,1087,31.9,64,Rice
Alluvial,Zaid,1195,31.4,63,Rice
Alluvial,Zaid,1236,31.5,76,Rice
Alluvial,Zaid,1027,29.7,80,Rice
Alluvial,Zaid,1265,31.4,62,Rice
Alluvial,Zaid,1261,29.3,72,Rice
Alluvial,Zaid,1132,28.2,62,Rice
Alluvial,Zaid,1480,29.7,80,Rice
Alluvial,Rabi,1216,28.9,79,Rice
Alluvial,Kharif,1191,31.8,70,Rice
Alluvial,Rabi,1288,29.9,78,Rice
Alluvial,Rabi,1014,29.1,74,Rice
Alluvial,Kharif,1234,28.3,79,Rice
Alluvial,Rabi,1145,30.4,67,Rice
Alluvial,Kharif,1039,30.7,71,Rice
Alluvial,Rabi,1111,29.2,77,Rice
Alluvial,Zaid,1113,30.2,72,Rice
Alluvial,Zaid,1026,30.0,65,Rice
Alluvial,Zaid,1087,30.3,79,Rice
Alluvial,Zaid,1336,28.6,80,Rice
Alluvial,Rabi,1360,31.9,76,Rice
Alluvial,Rabi,1165,28.4,65,Rice
Alluvial,Zaid,1142,31.5,60,Rice
Alluvial,Rabi,1491,31.1,64,Rice
Alluvial,Rabi,1201,28.2,68,Rice
Alluvial,Zaid,1365,30.5,74,Rice
Alluvial,Kharif,1037,28.3,76,Rice
Alluvial,Rabi,1268,30.8,77,Rice
Alluvial,Zaid,1233,29.4,66,Rice
Alluvial,Kharif,1185,31.4,70,Rice
Alluvial,Zaid,1229,28.5,80,Rice
Alluvial,Zaid,1480,31.6,74,Rice
Alluvial,Kharif,1364,31.2,73,Rice
Alluvial,Rabi,1352,29.5,61,Rice
Alluvial,Kharif,1425,29.0,65,Rice
Alluvial,Zaid,1086,29.3,64,Rice
Alluvial,Rabi,1043,29.2,67,Rice
Alluvial,Rabi,1302,29.8,74,Rice
Alluvial,Rabi,1233,31.8,75,Rice
Alluvial,Rabi,1064,30.5,74,Rice
Alluvial,Rabi,1089,30.1,67,Rice
Alluvial,Rabi,1456,30.0,61,Rice
Alluvial,Kharif,1247,31.2,66,Rice
Alluvial,Zaid,1089,31.1,75,Rice
Alluvial,Kharif,1187,30.2,79,Rice
Alluvial,Rabi,1179,28.1,74,Rice
Alluvial,Rabi,1410,28.3,63,Rice
Alluvial,Kharif,1472,29.4,69,Rice
Alluvial,Zaid,1370,28.7,63,Rice
Alluvial,Kharif,1323,30.8,70,Rice
Alluvial,Rabi,1287,29.1,71,Rice
Alluvial,Kharif,1086,30.4,64,Rice
Alluvial,Kharif,1377,30.7,68,Rice
Alluvial,Kharif,1157,28.1,61,Rice
Alluvial,Kharif,1406,29.9,77,Rice
Alluvial,Zaid,1363,28.7,72,Rice
Alluvial,Rabi,1214,31.9,62,Rice
Alluvial,Kharif,1499,28.1,73,Rice
Alluvial,Zaid,1300,28.3,61,Rice
Alluvial,Kharif,1072,29.4,68,Rice
Alluvial,Kharif,1453,31.5,79,Rice
Alluvial,Rabi,1025,31.7,61,Rice
Alluvial,Rabi,1437,28.0,65,Rice
Alluvial,Kharif,1230,30.9,69,Rice
Alluvial,Rabi,1336,31.2,61,Rice
Alluvial,Kharif,1059,28.7,76,Rice
Alluvial,Kharif,1179,31.8,71,Rice
Alluvial,Rabi,1458,31.0,80,Rice
Alluvial,Rabi,1320,31.4,77,Rice
Alluvial,Zaid,1273,30.0,61,Rice
Alluvial,Zaid,1477,30.7,67,Rice
Alluvial,Kharif,1357,28.1,69,Rice
Alluvial,Kharif,1432,29.2,80,Rice
Alluvial,Rabi,1450,32.0,70,Rice
Alluvial,Zaid,1383,28.0,71,Rice
Alluvial,Zaid,1369,28.9,65,Rice
Alluvial,Kharif,1338,31.2,78,Rice
Alluvial,Kharif,1242,28.7,67,Rice
Alluvial,Kharif,1342,31.1,78,Rice
Alluvial,Zaid,1209,31.7,68,Rice
Alluvial,Rabi,1041,31.8,62,Rice
Alluvial,Zaid,1049,28.6,65,Rice
Alluvial,Rabi,1401,31.9,68,Rice
Alluvial,Zaid,1170,29.3,67,Rice
Alluvial,Kharif,1121,31.9,66,Rice
Alluvial,Rabi,1334,28.1,76,Rice
Alluvial,Zaid,1174,30.3,61,Rice
Alluvial,Zaid,1190,28.6,66,Rice
Alluvial,Rabi,1367,31.3,74,Rice
Alluvial,Kharif,1153,30.3,68,Rice
Alluvial,Kharif,1357,32.0,67,Rice
Alluvial,Zaid,1428,29.5,61,Rice
Alluvial,Kharif,1021,31.3,60,Rice
Alluvial,Rabi,1304,28.2,66,Rice
Alluvial,Zaid,1394,30.1,75,Rice
Alluvial,Zaid,1019,29.5,60,Rice
Alluvial,Zaid,1162,29.6,78,Rice
Alluvial,Zaid,1214,28.7,65,Rice
Alluvial,Rabi,1127,31.5,74,Rice
Alluvial,Rabi,1254,29.3,60,Rice
Alluvial,Rabi,1277,31.4,79,Rice
Alluvial,Kharif,1287,30.5,69,Rice
Alluvial,Kharif,1446,31.0,68,Rice
Alluvial,Kharif,1227,29.9,72,Rice
Alluvial,Rabi,1132,30.7,66,Rice
Alluvial,Zaid,1435,29.7,75,Rice
Alluvial,Kharif,1423,28.8,74,Rice
Alluvial,Kharif,1108,31.6,78,Rice
Alluvial,Rabi,1036,30.5,62,Rice
Alluvial,Zaid,1370,29.9,76,Rice
Alluvial,Rabi,1434,30.6,69,Rice
Alluvial,Rabi,1208,28.3,61,Rice
Alluvial,Kharif,1056,30.6,72,Rice
Alluvial,Rabi,1271,31.7,65,Rice
Alluvial,Rabi,1021,31.0,74,Rice
Alluvial,Kharif,1279,29.3,70,Rice
Alluvial,Kharif,1007,30.5,68,Rice
Alluvial,Zaid,1308,28.8,66,Rice
Alluvial,Zaid,1176,30.6,69,Rice
Alluvial,Zaid,1232,30.4,70,Rice
Alluvial,Zaid,1373,29.9,79,Rice
Alluvial,Zaid,1159,31.2,71,Rice
Alluvial,Rabi,1080,29.2,67,Rice
Alluvial,Kharif,1164,29.3,75,Rice
Alluvial,Kharif,1329,31.7,63,Rice
Alluvial,Zaid,1103,29.3,75,Rice
Alluvial,Zaid,1462,30.7,70,Rice
Alluvial,Kharif,1027,30.0,79,Rice
Alluvial,Zaid,1194,30.7,65,Rice
Alluvial,Rabi,1447,31.1,74,Rice
Alluvial,Rabi,1362,28.5,62,Rice
Alluvial,Zaid,1467,29.6,78,Rice
Alluvial,Rabi,1104,28.6,67,Rice
Alluvial,Zaid,1134,28.6,72,Rice
Alluvial,Kharif,1099,28.3,66,Rice
Alluvial,Zaid,1285,30.5,68,Rice
Alluvial,Zaid,1099,28.3,80,Rice
Alluvial,Rabi,1291,28.1,64,Rice
Alluvial,Rabi,1272,29.0,67,Rice
Alluvial,Zaid,1415,29.9,65,Rice
Alluvial,Rabi,1118,30.9,68,Rice
Alluvial,Rabi,1068,29.4,78,Rice
Alluvial,Rabi,1261,29.9,65,Rice
Alluvial,Zaid,1125,30.6,62,Rice
Alluvial,Zaid,1450,29.4,76,Rice
Alluvial,Kharif,1043,28.1,72,Rice
Alluvial,Kharif,1104,31.6,66,Rice
Alluvial,Kharif,1392,31.7,61,Rice
Alluvial,Zaid,1200,30.4,72,Rice
Alluvial,Kharif,1207,30.9,68,Rice
Alluvial,Zaid,1411,31.6,71,Rice
Alluvial,Zaid,1118,31.6,77,Rice
Alluvial,Rabi,1027,28.6,78,Rice
Alluvial,Rabi,1448,29.6,69,Rice
Alluvial,Rabi,1246,29.8,74,Rice
Alluvial,Zaid,1166,30.6,64,Rice
Alluvial,Kharif,1335,29.8,76,Rice
Alluvial,Rabi,1319,30.1,60,Rice
Alluvial,Rabi,1218,29.1,77,Rice
Alluvial,Rabi,1086,30.9,75,Rice
Alluvial,Rabi,1426,29.5,60,Rice
Alluvial,Rabi,1466,28.6,68,Rice
Alluvial,Kharif,1247,30.0,70,Rice
Alluvial,Kharif,1251,29.3,75,Rice
Alluvial,Kharif,1019,28.1,79,Rice
Alluvial,Zaid,1455,32.0,75,Rice
Alluvial,Rabi,1386,28.1,61,Rice
Alluvial,Rabi,1104,28.0,72,Rice
Alluvial,Zaid,1154,28.2,80,Rice
Alluvial,Kharif,1173,31.8,66,Rice
Alluvial,Rabi,1072,30.6,76,Rice
Alluvial,Zaid,1218,30.2,71,Rice
Alluvial,Kharif,1233,28.0,65,Rice
Alluvial,Kharif,1134,28.8,79,Rice
Alluvial,Zaid,1337,31.3,64,Rice
Alluvial,Zaid,1363,30.5,69,Rice
Alluvial,Rabi,1001,31.3,77,Rice
Alluvial,Rabi,1164,28.2,79,Rice
Alluvial,Zaid,1021,28.6,79,Rice
Alluvial,Rabi,1499,29.3,65,Rice
Alluvial,Kharif,1207,29.1,79,Rice
Alluvial,Kharif,1432,28.4,70,Rice
Alluvial,Zaid,1212,28.8,80,Rice
Alluvial,Kharif,1191,29.8,71,Rice
Alluvial,Rabi,1349,30.0,60,Rice
Alluvial,Kharif,1398,28.5,80,Rice
Alluvial,Kharif,1374,29.8,68,Rice
Alluvial,Kharif,1026,28.3,61,Rice
Alluvial,Kharif,1247,28.2,61,Rice
Alluvial,Kharif,1066,31.6,79,Rice
Alluvial,Kharif,1462,31.0,60,Rice
Alluvial,Kharif,1007,30.7,78,Rice
Alluvial,Zaid,1248,31.7,75,Rice
Alluvial,Zaid,1031,28.7,67,Rice
Alluvial,Kharif,1172,29.6,79,Rice
Alluvial,Kharif,1127,30.3,71,Rice
Alluvial,Rabi,1076,30.6,62,Rice
Alluvial,Zaid,1357,31.8,68,Rice
Alluvial,Rabi,1034,30.5,62,Rice
Alluvial,Rabi,1140,30.6,70,Rice
Alluvial,Kharif,1332,30.6,67,Rice
Alluvial,Zaid,1361,30.3,80,Rice
Alluvial,Kharif,1430,28.8,69,Rice
Alluvial,Rabi,1136,31.7,70,Rice
Alluvial,Kharif,1334,28.4,63,Rice
Alluvial,Kharif,1002,31.6,62,Rice
Alluvial,Zaid,1400,29.1,64,Rice
Alluvial,Kharif,1055,30.4,65,Rice
Alluvial,Zaid,1437,30.7,67,Rice
Alluvial,Zaid,1378,30.2,61,Rice
Alluvial,Zaid,1293,29.8,74,Rice
Alluvial,Kharif,1123,29.7,62,Rice
Alluvial,Kharif,1368,28.8,72,Rice
Alluvial,Rabi,1304,31.1,76,Rice
Alluvial,Kharif,1008,28.2,75,Rice
Alluvial,Rabi,1373,28.9,69,Rice
Alluvial,Rabi,1378,30.3,79,Rice
Alluvial,Rabi,1154,29.8,60,Rice
Alluvial,Kharif,1411,28.9,61,Rice
Alluvial,Zaid,1150,28.1,68,Rice
Alluvial,Kharif,1499,29.0,75,Rice
Alluvial,Zaid,1246,29.2,72,Rice
Alluvial,Zaid,1189,30.3,61,Rice
Alluvial,Kharif,1415,31.0,69,Rice
Alluvial,Rabi,1178,30.6,73,Rice
Alluvial,Rabi,1459,30.9,80,Rice
Alluvial,Zaid,1358,30.9,79,Rice
Alluvial,Kharif,1306,30.9,77,Rice
Alluvial,Rabi,1270,29.8,68,Rice
Alluvial,Zaid,1148,31.8,71,Rice
Alluvial,Kharif,1364,28.4,80,Rice
Alluvial,Rabi,1425,30.5,75,Rice
Alluvial,Rabi,1069,28.5,76,Rice
Alluvial,Kharif,1115,31.1,78,Rice
Alluvial,Kharif,1395,29.1,75,Rice
Alluvial,Rabi,1192,29.4,62,Rice
Alluvial,Rabi,1494,28.2,69,Rice
Alluvial,Rabi,1094,29.7,77,Rice
Alluvial,Zaid,1220,30.2,68,Rice
Alluvial,Rabi,1333,31.4,78,Rice
Alluvial,Rabi,1415,30.4,62,Rice
Alluvial,Zaid,1208,28.9,72,Rice
Alluvial,Rabi,1316,31.9,62,Rice
Alluvial,Zaid,1410,30.8,80,Rice
Alluvial,Kharif,1388,31.0,65,Rice
Alluvial,Rabi,1325,31.4,66,Rice
Alluvial,Kharif,1424,31.0,76,Rice
Alluvial,Rabi,1378,30.9,62,Rice
Alluvial,Rabi,1116,31.7,64,Rice
Alluvial,Zaid,1442,30.2,69,Rice
Alluvial,Zaid,1499,30.1,72,Rice
Alluvial,Rabi,1211,29.6,77,Rice
Alluvial,Kharif,1335,31.0,68,Rice
Alluvial,Kharif,1003,29.9,70,Rice
Alluvial,Rabi,1065,30.3,65,Rice
Alluvial,Rabi,1039,28.2,80,Rice
Alluvial,Zaid,1262,30.0,62,Rice
Alluvial,Rabi,1005,30.3,67,Rice
Alluvial,Kharif,1360,30.1,60,Rice
Alluvial,Kharif,1491,29.0,73,Rice
Alluvial,Rabi,1198,29.6,75,Rice
Alluvial,Zaid,1119,29.9,70,Rice
Alluvial,Kharif,1352,29.5,77,Rice
Alluvial,Rabi,1372,30.5,67,Rice
Alluvial,Rabi,1421,28.8,68,Rice
Alluvial,Rabi,1004,32.0,60,Rice
Alluvial,Rabi,1334,30.8,68,Rice
Alluvial,Rabi,1087,30.6,61,Rice
Alluvial,Zaid,1186,30.7,64,Rice
Alluvial,Rabi,1163,28.5,70,Rice
Alluvial,Kharif,1374,31.2,78,Rice
Alluvial,Zaid,1117,32.0,71,Rice
Alluvial,Rabi,1466,31.4,79,Rice
Alluvial,Kharif,1089,28.3,79,Rice
Alluvial,Kharif,1104,31.2,61,Rice
Alluvial,Rabi,1475,28.0,60,Rice
Alluvial,Rabi,1190,30.6,76,Rice
Alluvial,Zaid,1316,31.0,70,Rice
Alluvial,Zaid,1192,31.0,62,Rice
Alluvial,Rabi,1490,30.7,67,Wheat
Alluvial,Rabi,1253,29.2,64,Wheat
Alluvial,Kharif,1264,31.2,64,Wheat
Alluvial,Rabi,1154,29.0,65,Wheat
Alluvial,Rabi,1367,29.3,70,Wheat
Alluvial,Kharif,1131,29.1,68,Wheat
Alluvial,Zaid,1213,30.6,80,Wheat
Alluvial,Kharif,1278,28.7,65,Wheat
Alluvial,Kharif,1102,29.9,63,Wheat
Alluvial,Zaid,1191,30.4,71,Wheat
Alluvial,Rabi,1045,28.3,74,Wheat
Alluvial,Rabi,1161,30.5,80,Wheat
Alluvial,Zaid,1315,28.6,71,Wheat
Alluvial,Zaid,1156,31.6,79,Wheat
Alluvial,Zaid,1367,30.6,77,Wheat
Alluvial,Kharif,1189,29.5,70,Wheat
Alluvial,Zaid,1211,28.0,62,Wheat
Alluvial,Zaid,1283,30.4,75,Wheat
Alluvial,Rabi,1245,28.0,68,Wheat
Alluvial,Zaid,1187,28.1,63,Wheat
Alluvial,Rabi,1328,30.8,64,Wheat
Alluvial,Kharif,1135,28.5,78,Wheat
Alluvial,Zaid,1158,31.9,60,Wheat
Alluvial,Kharif,1396,29.1,74,Wheat
Alluvial,Zaid,1241,29.4,72,Wheat
Alluvial,Kharif,1439,28.8,67,Wheat
Alluvial,Kharif,1089,31.6,76,Wheat
Alluvial,Zaid,1251,28.9,68,Wheat
Alluvial,Rabi,1156,28.8,78,Wheat
Alluvial,Rabi,1236,29.0,61,Wheat
Alluvial,Zaid,1481,30.3,71,Wheat
Alluvial,Kharif,1381,29.8,78,Wheat
Alluvial,Rabi,1143,28.5,79,Wheat
Alluvial,Kharif,1192,30.9,66,Wheat
Alluvial,Kharif,1385,30.8,76,Wheat
Alluvial,Rabi,1473,30.0,70,Wheat
Alluvial,Zaid,1076,30.5,71,Wheat
Alluvial,Rabi,1408,28.7,60,Wheat
Alluvial,Rabi,1039,30.7,71,Wheat
Alluvial,Zaid,1093,30.2,80,Wheat
Alluvial,Rabi,1353,28.0,65,Wheat
Alluvial,Zaid,1077,29.2,64,Wheat
Alluvial,Rabi,1113,28.1,62,Wheat
Alluvial,Kharif,1012,29.3,73,Wheat
Alluvial,Rabi,1431,31.7,68,Wheat
Alluvial,Kharif,1372,29.9,70,Wheat
Alluvial,Rabi,1457,29.9,69,Wheat
Alluvial,Kharif,1153,30.0,73,Wheat
Alluvial,Kharif,1453,28.9,75,Wheat
Alluvial,Rabi,1215,31.0,70,Wheat
Alluvial,Rabi,1203,30.8,74,Wheat
Alluvial,Rabi,1399,31.8,61,Wheat
Alluvial,Kharif,1193,28.4,76,Wheat
Alluvial,Rabi,1433,30.7,80,Wheat
Alluvial,Zaid,1488,28.8,76,Wheat
Alluvial,Rabi,1211,30.5,72,Wheat
Alluvial,Zaid,1080,30.2,76,Wheat
Alluvial,Zaid,1414,29.8,63,Wheat
Alluvial,Rabi,1036,28.7,71,Wheat
Alluvial,Rabi,1318,29.5,61,Wheat
Alluvial,Kharif,1051,29.6,69,Wheat
Alluvial,Zaid,1176,28.4,78,Wheat
Alluvial,Zaid,1419,30.6,80,Wheat
Alluvial,Zaid,1156,29.8,66,Wheat
Alluvial,Rabi,1357,29.0,73,Wheat
Alluvial,Rabi,1145,28.6,64,Wheat
Alluvial,Rabi,1137,29.0,68,Wheat
Alluvial,Kharif,1337,29.2,62,Wheat
Alluvial,Zaid,1453,29.0,79,Wheat
Alluvial,Kharif,1053,31.5,67,Wheat
Alluvial,Rabi,1386,29.5,62,Wheat
Alluvial,Kharif,1194,31.9,76,Wheat
Alluvial,Kharif,1002,29.5,68,Wheat
Alluvial,Kharif,1494,29.7,77,Wheat
Alluvial,Zaid,1364,31.1,71,Wheat
Alluvial,Kharif,1350,29.3,67,Wheat
Alluvial,Kharif,1322,31.4,79,Wheat
Alluvial,Kharif,1280,29.1,76,Wheat
Alluvial,Zaid,1337,29.0,66,Wheat
Alluvial,Zaid,1332,31.1,80,Wheat
Alluvial,Kharif,1494,30.5,75,Wheat
Alluvial,Rabi,1464,31.8,72,Wheat
Alluvial,Kharif,1095,29.5,76,Wheat
Alluvial,Kharif,1177,31.9,80,Wheat
Alluvial,Zaid,1235,30.0,66,Wheat
Alluvial,Rabi,1428,31.5,63,Wheat
Alluvial,Kharif,1319,28.7,68,Wheat
Alluvial,Zaid,1148,29.9,78,Wheat
Alluvial,Kharif,1244,28.2,69,Wheat
Alluvial,Rabi,1136,31.0,78,Wheat
Alluvial,Kharif,1449,31.4,66,Wheat
Alluvial,Rabi,1207,30.1,78,Wheat
Alluvial,Kharif,1404,30.5,68,Wheat
Alluvial,Rabi,1404,31.1,71,Wheat
Alluvial,Kharif,1411,28.5,67,Wheat
Alluvial,Zaid,1237,28.6,71,Wheat
Alluvial,Rabi,1235,28.2,79,Wheat
Alluvial,Rabi,1165,28.0,79,Wheat
Alluvial,Kharif,1421,28.6,70,Wheat
Alluvial,Kharif,1235,28.6,70,Wheat
Alluvial,Rabi,1135,29.4,62,Wheat
Alluvial,Rabi,1070,30.0,73,Wheat
Alluvial,Zaid,1060,30.1,65,Wheat
Alluvial,Zaid,1201,28.6,68,Wheat
Alluvial,Kharif,1087,31.8,72,Wheat
Alluvial,Kharif,1191,28.1,60,Wheat
Alluvial,Zaid,1191,31.6,61,Wheat
Alluvial,Rabi,1455,31.9,80,Wheat
Alluvial,Zaid,1185,30.5,79,Wheat
Alluvial,Kharif,1001,29.1,80,Wheat
Alluvial,Zaid,1332,31.0,75,Wheat
Alluvial,Kharif,1349,29.1,62,Wheat
Alluvial,Zaid,1429,30.1,79,Wheat
Alluvial,Zaid,1261,30.8,76,Wheat
Alluvial,Kharif,1169,29.9,69,Wheat
Alluvial,Zaid,1265,29.7,76,Wheat
Alluvial,Kharif,1373,29.3,79,Wheat
Alluvial,Zaid,1344,31.2,65,Wheat
Alluvial,Zaid,1454,29.6,70,Wheat
Alluvial,Kharif,1226,31.9,75,Wheat
Alluvial,Rabi,1097,31.5,63,Wheat
Alluvial,Rabi,1492,31.8,70,Wheat
Alluvial,Zaid,1228,28.6,66,Wheat
Alluvial,Kharif,1412,30.5,75,Wheat
Alluvial,Kharif,1051,31.6,64,Wheat
Alluvial,Zaid,1456,28.2,79,Wheat
Alluvial,Kharif,1460,30.9,70,Wheat
Alluvial,Rabi,1359,28.1,61,Wheat
Alluvial,Kharif,1291,31.7,69,Wheat
Alluvial,Zaid,1375,31.2,73,Wheat
Alluvial,Rabi,1229,31.5,77,Wheat
Alluvial,Kharif,1372,28.2,70,Wheat
Alluvial,Rabi,1304,28.2,68,Wheat
Alluvial,Zaid,1219,30.2,70,Wheat
Alluvial,Zaid,1304,31.6,66,Wheat
Alluvial,Rabi,1253,29.6,74,Wheat
Alluvial,Rabi,1421,29.9,61,Wheat
Alluvial,Zaid,1033,31.7,65,Wheat
Alluvial,Rabi,1185,28.0,61,Wheat
Alluvial,Zaid,1134,31.4,74,Wheat
Alluvial,Kharif,1453,29.8,72,Wheat
Alluvial,Zaid,1238,30.7,65,Wheat
Alluvial,Zaid,1495,29.8,71,Wheat
Alluvial,Kharif,1247,29.9,65,Wheat
Alluvial,Zaid,1188,28.3,77,Wheat
Alluvial,Rabi,1478,29.6,62,Wheat
Alluvial,Rabi,1104,29.1,77,Wheat
Alluvial,Kharif,1139,29.4,63,Wheat
Alluvial,Rabi,1402,30.3,62,Wheat
Alluvial,Rabi,1440,31.1,67,Wheat
Alluvial,Kharif,1308,28.5,60,Wheat
Alluvial,Zaid,1116,29.1,61,Wheat
Alluvial,Zaid,1110,31.4,60,Wheat
Alluvial,Kharif,1250,29.8,70,Wheat
Alluvial,Kharif,1247,29.8,80,Wheat
Alluvial,Zaid,1137,31.7,63,Wheat
Alluvial,Zaid,1411,31.1,73,Wheat
Alluvial,Zaid,1286,31.9,67,Wheat
Alluvial,Rabi,1002,28.6,60,Wheat
Alluvial,Zaid,1033,28.2,78,Wheat
Alluvial,Rabi,1139,30.1,63,Wheat
Alluvial,Rabi,1238,31.1,61,Wheat
Alluvial,Kharif,1285,31.5,73,Wheat
Alluvial,Zaid,1133,28.9,65,Wheat
Alluvial,Kharif,1423,31.3,62,Wheat
Alluvial,Kharif,1401,30.0,70,Wheat
Alluvial,Rabi,1203,32.0,63,Wheat
Alluvial,Zaid,1254,30.2,60,Wheat
Alluvial,Zaid,1256,29.8,69,Wheat
Alluvial,Rabi,1092,28.1,72,Wheat
Alluvial,Zaid,1162,31.5,75,Wheat
Alluvial,Kharif,1184,29.2,64,Wheat
